,source,relation,target
980,31216003,IS_A,91138005
981,45677003,IS_A,1855002
982,47916000,IS_A,1855002
983,52824009,IS_A,1855002
984,192136006,IS_A,52824009
985,443735008,IS_A,1855002
986,91138005,IS_A,129104009
987,91138005,INVERSE_associated_finding,271388000
988,91138005,INVERSE_has_definitional_manifestation,702344008
989,91138005,INVERSE_has_focus,171210004
990,10007009,IS_A,82354003
991,10007009,IS_A,91138005
992,10007009,IS_A,57148006
993,10007009,associated_morphology,21390004
994,10007009,finding_site,12738006
995,10007009,occurrence,255399007
996,109478007,IS_A,78494001
997,109478007,IS_A,84757009
998,109478007,IS_A,91138005
999,109478007,IS_A,239042009
1000,109478007,IS_A,363235000
1001,109478007,IS_A,363185004
1002,109478007,associated_morphology,21390004
1003,109478007,associated_morphology,25283002
1004,109478007,finding_site,83678007
1005,109478007,finding_site,39937001
1006,109478007,finding_site,128456003
1007,109478007,finding_site,63206006
1008,109478007,occurrence,255399007
1009,109478007,has_definitional_manifestation,91175000
1010,232059000,IS_A,82354003
1011,232059000,IS_A,85995004
1012,232059000,IS_A,91138005
1013,232059000,associated_morphology,21390004
1014,232059000,occurrence,255399007
1015,238110009,IS_A,238107002
1016,238110009,IS_A,91138005
1017,313426007,IS_A,91138005
1018,313426007,IS_A,281867008
1019,21634003,IS_A,82354003
1020,21634003,IS_A,128430005
1021,21634003,IS_A,91138005
1022,21634003,IS_A,363235000
1023,21634003,IS_A,57148006
1024,21634003,associated_morphology,21390004
1025,21634003,finding_site,12738006
1026,21634003,occurrence,255399007
1027,33982008,IS_A,87049008
1028,33982008,IS_A,91138005
1029,33982008,IS_A,85995004
1030,40700009,IS_A,91138005
1031,5619004,IS_A,82354003
1032,5619004,IS_A,91138005
1033,5619004,IS_A,85995004
1034,5619004,associated_morphology,21390004
1035,5619004,occurrence,255399007
1036,59252009,IS_A,91138005
1037,59252009,IS_A,58588007
1038,59252009,finding_site,21793004
1039,59252009,finding_site,39937001
1040,61152003,IS_A,91138005
1041,77287004,IS_A,91138005
1042,77383003,IS_A,91138005
1043,77383003,IS_A,73873008
1044,77383003,finding_site,21793004
1045,86765009,IS_A,91138005
1046,412787009,IS_A,13213009
1047,412787009,IS_A,91138005
1048,412787009,IS_A,371136004
1049,412787009,IS_A,93040009
1050,412787009,associated_morphology,21390004
1051,412787009,associated_morphology,25659002
1052,412787009,finding_site,38199008
1053,412787009,finding_site,80891009
1054,412787009,finding_site,595000
1055,412787009,occurrence,255399007
1056,699297004,IS_A,412787009
1057,699297004,IS_A,363343008
1058,699297004,IS_A,363080007
1059,699297004,IS_A,128430005
1060,699297004,IS_A,363005004
1061,699297004,associated_morphology,21390004
1062,699297004,associated_morphology,25659002
1063,699297004,finding_site,38199008
1064,699297004,finding_site,80891009
1065,699297004,finding_site,595000
1066,699297004,occurrence,255399007
1067,699298009,IS_A,412787009
1068,699298009,associated_morphology,21390004
1069,699298009,associated_morphology,25659002
1070,699298009,finding_site,38199008
1071,699298009,finding_site,80891009
1072,699298009,finding_site,595000
1073,699298009,occurrence,255399007
1074,414673004,IS_A,73663008
1075,414673004,IS_A,91138005
1076,414673004,IS_A,93261006
1077,414673004,IS_A,363290007
1078,414673004,IS_A,237836003
1079,414673004,associated_morphology,55199003
1080,414673004,finding_site,25087005
1081,414673004,finding_site,43174007
1082,414673004,occurrence,255399007
1083,414673004,due_to,44600005
1084,422437002,IS_A,91138005
1085,422437002,IS_A,128430005
1086,699669001,IS_A,128430005
1087,699669001,IS_A,91138005
1088,702412005,IS_A,128430005
1089,702412005,IS_A,91138005
1090,702416008,IS_A,128430005
1091,702416008,IS_A,91138005
1092,703389002,IS_A,128430005
1093,703389002,IS_A,91138005
1094,702816000,IS_A,128430005
1095,702816000,IS_A,205728002
1096,702816000,IS_A,91138005
1097,702816000,finding_site,312237004
1098,703535000,IS_A,11164009
1099,703535000,IS_A,363080007
1100,703535000,IS_A,204739008
1101,703535000,IS_A,363235000
1102,703535000,IS_A,91138005
1103,703535000,associated_morphology,58371004
1104,703535000,associated_morphology,90141005
1105,703535000,finding_site,23424009
1106,703535000,finding_site,53520000
1107,703535000,finding_site,71854001
1108,703535000,occurrence,255399007
1109,715441004,IS_A,65094009
1110,715441004,IS_A,91138005
1111,715441004,associated_morphology,21390004
1112,715441004,finding_site,89545001
1113,715441004,occurrence,255399007
1114,716024001,IS_A,11164009
1115,716024001,IS_A,91138005
1116,716024001,IS_A,237836003
1117,716024001,IS_A,251730004
1118,716024001,IS_A,363343008
1119,716024001,associated_morphology,107656002
1120,716024001,associated_morphology,21390004
1121,716024001,finding_site,48362000
1122,716024001,finding_site,31636006
1123,716024001,occurrence,255399007
1124,715409005,IS_A,28740008
1125,715409005,IS_A,82354003
1126,715409005,IS_A,91138005
1127,715409005,associated_morphology,67798003
1128,715409005,associated_morphology,43948000
1129,715409005,finding_site,74448009
1130,715409005,finding_site,74872008
1131,715409005,occurrence,255399007
1132,715628009,IS_A,34911001
1133,715628009,IS_A,41799005
1134,715628009,IS_A,85995004
1135,715628009,IS_A,91138005
1136,715628009,IS_A,248311001
1137,715628009,IS_A,363290007
1138,715628009,associated_morphology,4720007
1139,715628009,associated_morphology,55199003
1140,715628009,finding_site,5665001
1141,715628009,finding_site,18911002
1142,715628009,occurrence,255399007
1143,715628009,has_definitional_manifestation,414915002
1144,715428003,IS_A,85995004
1145,715428003,IS_A,91138005
1146,715428003,IS_A,105986008
1147,715428003,IS_A,237836003
1148,715428003,IS_A,363045008
1149,715428003,IS_A,363212003
1150,715428003,associated_morphology,25283002
1151,715428003,finding_site,272673000
1152,715428003,occurrence,255399007
1153,716096005,IS_A,65094009
1154,716096005,IS_A,85995004
1155,716096005,IS_A,91138005
1156,716096005,IS_A,363338001
1157,716096005,IS_A,416010008
1158,716096005,associated_morphology,60115006
1159,716096005,associated_morphology,21390004
1160,716096005,finding_site,87528003
1161,716096005,finding_site,89545001
1162,716096005,occurrence,255399007
1163,716112005,IS_A,1829003
1164,716112005,IS_A,11164009
1165,716112005,IS_A,15188001
1166,716112005,IS_A,65094009
1167,716112005,IS_A,91138005
1168,716112005,IS_A,95827002
1169,716112005,IS_A,362991006
1170,716112005,IS_A,363235000
1171,716112005,associated_morphology,41086002
1172,716112005,associated_morphology,21390004
1173,716112005,finding_site,91159003
1174,716112005,finding_site,12738006
1175,716112005,finding_site,89545001
1176,716112005,occurrence,255399007
1177,716112005,interprets,47078008
1178,716112005,interprets,364644000
1179,716191002,IS_A,56317004
1180,716191002,IS_A,91138005
1181,716191002,IS_A,363185004
1182,716191002,associated_morphology,418560003
1183,716191002,finding_site,386045008
1184,716334004,IS_A,41443008
1185,716334004,IS_A,85995004
1186,716334004,IS_A,91138005
1187,716334004,IS_A,204821009
1188,716334004,IS_A,237836003
1189,716334004,IS_A,363290007
1190,716334004,associated_morphology,21390004
1191,716334004,finding_site,71934003
1192,716334004,occurrence,255399007
1193,717157006,IS_A,2893009
1194,717157006,IS_A,23359005
1195,717157006,IS_A,91138005
1196,717157006,IS_A,270521004
1197,717157006,associated_morphology,21390004
1198,717157006,associated_morphology,78989007
1199,717157006,finding_site,66019005
1200,717157006,finding_site,56332006
1201,717157006,finding_site,89545001
1202,717157006,occurrence,255399007
1203,717222003,IS_A,61142002
1204,717222003,IS_A,91138005
1205,717222003,IS_A,128430005
1206,717222003,IS_A,253213006
1207,717222003,IS_A,363343008
1208,717222003,associated_morphology,41086002
1209,717222003,associated_morphology,28941001
1210,717222003,finding_site,244486005
1211,717222003,finding_site,77024004
1212,717222003,occurrence,255399007
1213,716089008,IS_A,62250003
1214,716089008,IS_A,65094009
1215,716089008,IS_A,91138005
1216,716089008,IS_A,204821009
1217,716089008,IS_A,268239009
1218,716089008,associated_morphology,21390004
1219,716089008,associated_morphology,67946009
1220,716089008,finding_site,71934003
1221,716089008,finding_site,272679001
1222,716089008,finding_site,82680008
1223,716089008,finding_site,89545001
1224,716089008,occurrence,255399007
1225,715989002,IS_A,79410001
1226,715989002,IS_A,91138005
1227,715989002,IS_A,204712000
1228,715989002,IS_A,287085006
1229,715989002,IS_A,363343008
1230,715989002,associated_morphology,609587005
1231,715989002,associated_morphology,21390004
1232,715989002,associated_morphology,56457002
1233,715989002,finding_site,78076003
1234,715989002,finding_site,21514008
1235,715989002,finding_site,53505006
1236,715989002,occurrence,255399007
1237,716706009,IS_A,84757009
1238,716706009,IS_A,91138005
1239,716706009,IS_A,128430005
1240,716706009,IS_A,363235000
1241,716706009,finding_site,83678007
1242,716706009,has_definitional_manifestation,91175000
1243,716709002,IS_A,91138005
1244,716709002,IS_A,128430005
1245,716709002,IS_A,205720009
1246,716709002,associated_morphology,107675007
1247,716709002,finding_site,72837006
1248,716709002,occurrence,255399007
1249,716996008,IS_A,41443008
1250,716996008,IS_A,91138005
1251,716996008,IS_A,128430005
1252,716996008,IS_A,204043002
1253,716996008,IS_A,363235000
1254,716996008,associated_morphology,58371004
1255,716996008,associated_morphology,55199003
1256,716996008,finding_site,280371009
1257,716996008,finding_site,88442005
1258,716996008,occurrence,255399007
1259,718226002,IS_A,65094009
1260,718226002,IS_A,84711007
1261,718226002,IS_A,91138005
1262,718226002,associated_morphology,21390004
1263,718226002,associated_morphology,67285006
1264,718226002,finding_site,89545001
1265,718226002,finding_site,78901007
1266,718226002,occurrence,255399007
1267,716107009,IS_A,91138005
1268,716107009,IS_A,128430005
1269,716107009,IS_A,363235000
1270,716107009,IS_A,715345007
1271,716107009,finding_site,32610002
1272,231537008,IS_A,129104009
1273,111479008,IS_A,81308009
1274,111479008,IS_A,74732009
1275,111479008,finding_site,12738006
1276,106014008,IS_A,111479008
1277,106014008,finding_site,12738006
1278,2776000,IS_A,286933003
1279,2776000,IS_A,106014008
1280,2776000,finding_site,12738006
1281,2776000,INVERSE_has_focus,386255004
1282,2776000,INVERSE_has_focus,710743004
1283,191507002,IS_A,2776000
1284,191507002,finding_site,12738006
1285,191508007,IS_A,191507002
1286,191508007,finding_site,12738006
1287,191509004,IS_A,191507002
1288,191509004,IS_A,40733004
1289,191509004,finding_site,12738006
1290,191509004,pathological_process,441862004
1291,191510009,IS_A,191507002
1292,191510009,finding_site,12738006
1293,191511008,IS_A,191507002
1294,191511008,finding_site,12738006
1295,191512001,IS_A,191507002
1296,191512001,finding_site,12738006
1297,231439009,IS_A,2776000
1298,231439009,finding_site,12738006
1299,231450007,IS_A,69322001
1300,231450007,IS_A,2776000
1301,231450007,finding_site,12738006
1302,231451006,IS_A,231450007
1303,231451006,IS_A,191492000
1304,231451006,IS_A,191483003
1305,231451006,causative_agent,410942007
1306,231451006,finding_site,12738006
1307,280994000,IS_A,2776000
1308,280994000,finding_site,12738006
1309,85821003,IS_A,76011009
1310,85821003,IS_A,2776000
1311,85821003,finding_site,12738006
1312,191501001,IS_A,2776000
1313,191501001,finding_site,12738006
1314,191502008,IS_A,2776000
1315,191502008,IS_A,127341005
1316,191502008,IS_A,63171007
1317,191502008,clinical_course,424124008
1318,191502008,finding_site,12738006
1319,191502008,pathological_process,441862004
1320,191503003,IS_A,2776000
1321,191503003,finding_site,12738006
1322,191504009,IS_A,2776000
1323,191504009,finding_site,12738006
1324,191505005,IS_A,2776000
1325,191505005,finding_site,12738006
1326,231440006,IS_A,2776000
1327,231440006,finding_site,12738006
1328,404906000,IS_A,2776000
1329,404906000,IS_A,385486001
1330,404906000,finding_site,12738006
1331,404906000,after,387713003
1332,10349009,IS_A,56267009
1333,10349009,IS_A,2776000
1334,10349009,associated_morphology,26036001
1335,10349009,associated_morphology,27876002
1336,10349009,finding_site,88556005
1337,10349009,finding_site,83678007
1338,10349009,due_to,62914000
1339,191492000,IS_A,2776000
1340,191492000,IS_A,442351006
1341,191492000,causative_agent,410942007
1342,191492000,finding_site,12738006
1343,31715000,IS_A,231466009
1344,31715000,IS_A,191492000
1345,31715000,IS_A,20871009
1346,31715000,causative_agent,9721008
1347,31715000,finding_site,12738006
1348,39807006,IS_A,23527004
1349,39807006,IS_A,77355000
1350,39807006,IS_A,191492000
1351,39807006,causative_agent,398705004
1352,39807006,finding_site,12738006
1353,70328006,IS_A,46975003
1354,70328006,IS_A,191492000
1355,70328006,causative_agent,387085005
1356,70328006,finding_site,12738006
1357,8635005,IS_A,191480000
1358,8635005,IS_A,191492000
1359,8635005,causative_agent,311492009
1360,8635005,finding_site,12738006
1361,8837000,IS_A,83367009
1362,8837000,IS_A,191492000
1363,8837000,causative_agent,703841004
1364,8837000,finding_site,12738006
1365,39003006,IS_A,11387009
1366,39003006,IS_A,191492000
1367,39003006,causative_agent,418149003
1368,39003006,finding_site,12738006
1369,5444000,IS_A,39003006
1370,5444000,causative_agent,418149003
1371,5444000,finding_site,12738006
1372,49481000,IS_A,2776000
1373,49481000,finding_site,12738006
1374,49481000,after,91175000
1375,698958008,IS_A,2776000
1376,698958008,finding_site,12738006
1377,42594001,IS_A,106014008
1378,42594001,IS_A,23645006
1379,42594001,finding_site,12738006
1380,45912004,IS_A,106014008
1381,45912004,IS_A,231457005
1382,45912004,finding_site,12738006
1383,193756007,IS_A,45912004
1384,193756007,finding_site,12738006
1385,28368009,IS_A,11387009
1386,28368009,IS_A,45912004
1387,28368009,causative_agent,418149003
1388,28368009,finding_site,12738006
1389,47664006,IS_A,28368009
1390,47664006,causative_agent,418149003
1391,47664006,finding_site,12738006
1392,32009006,IS_A,45912004
1393,32009006,IS_A,53050002
1394,32009006,causative_agent,229005006
1395,32009006,finding_site,12738006
1396,7052005,IS_A,45912004
1397,7052005,IS_A,42344001
1398,7052005,causative_agent,311492009
1399,7052005,finding_site,12738006
1400,58329000,IS_A,106014008
1401,58329000,IS_A,23645006
1402,58329000,finding_site,12738006
1403,83501007,IS_A,23645006
1404,83501007,IS_A,106014008
1405,83501007,finding_site,12738006
1406,88845000,IS_A,36217008
1407,88845000,IS_A,106014008
1408,88845000,finding_site,12738006
1409,231457005,IS_A,111479008
1410,231457005,finding_site,12738006
1411,231442003,IS_A,231457005
1412,231442003,finding_site,12738006
1413,231449007,IS_A,231457005
1414,231449007,IS_A,69322001
1415,231449007,finding_site,12738006
1416,278852008,IS_A,231449007
1417,278852008,finding_site,12738006
1418,23645006,IS_A,46206005
1419,23645006,IS_A,231457005
1420,23645006,finding_site,12738006
1421,231443008,IS_A,23645006
1422,231443008,finding_site,12738006
1423,231444002,IS_A,23645006
1424,231444002,IS_A,13746004
1425,231444002,finding_site,12738006
1426,231446000,IS_A,23645006
1427,231446000,finding_site,12738006
1428,37331004,IS_A,11387009
1429,37331004,IS_A,23645006
1430,37331004,IS_A,429672007
1431,37331004,causative_agent,418149003
1432,37331004,finding_site,12738006
1433,1383008,IS_A,37331004
1434,1383008,IS_A,53050002
1435,1383008,causative_agent,229005006
1436,1383008,finding_site,12738006
1437,4863002,IS_A,37331004
1438,4863002,causative_agent,9721008
1439,4863002,finding_site,12738006
1440,10327003,IS_A,46975003
1441,10327003,IS_A,37331004
1442,10327003,causative_agent,387085005
1443,10327003,finding_site,12738006
1444,28864000,IS_A,37331004
1445,28864000,causative_agent,418149003
1446,28864000,finding_site,12738006
1447,29733004,IS_A,14784000
1448,29733004,IS_A,37331004
1449,29733004,causative_agent,404642006
1450,29733004,finding_site,12738006
1451,288851000119106,IS_A,29733004
1452,288851000119106,causative_agent,404642006
1453,288851000119106,finding_site,12738006
1454,288851000119106,due_to,5602001
1455,288861000119108,IS_A,29733004
1456,288861000119108,causative_agent,404642006
1457,288861000119108,finding_site,12738006
1458,288861000119108,due_to,75544000
1459,53936005,IS_A,29212009
1460,53936005,IS_A,37331004
1461,53936005,causative_agent,311492009
1462,53936005,finding_site,12738006
1463,37739004,IS_A,23645006
1464,37739004,finding_site,12738006
1465,22419002,IS_A,37739004
1466,22419002,finding_site,12738006
1467,28676002,IS_A,37739004
1468,28676002,finding_site,12738006
1469,75837004,IS_A,37739004
1470,75837004,finding_site,12738006
1471,77486005,IS_A,37739004
1472,77486005,finding_site,12738006
1473,5510009,IS_A,231457005
1474,5510009,IS_A,48500005
1475,5510009,finding_site,12738006
1476,32552001,IS_A,11387009
1477,32552001,IS_A,5510009
1478,32552001,IS_A,427975003
1479,32552001,causative_agent,418149003
1480,32552001,finding_site,12738006
1481,1973000,IS_A,191483003
1482,1973000,IS_A,32552001
1483,1973000,causative_agent,418149003
1484,1973000,finding_site,12738006
1485,21831000119109,IS_A,32552001
1486,21831000119109,IS_A,191483003
1487,21831000119109,causative_agent,9721008
1488,21831000119109,finding_site,12738006
1489,50722006,IS_A,21831000119109
1490,50722006,causative_agent,9721008
1491,50722006,finding_site,12738006
1492,286933003,IS_A,111479008
1493,286933003,finding_site,12738006
1494,162702000,IS_A,162700008
1495,162702000,IS_A,286933003
1496,162702000,finding_site,12738006
1497,162702000,finding_method,5880005
1498,162702000,finding_informer,420158005
1499,162702000,interprets,6942003
1500,162702000,interprets,3850002
1501,44031002,IS_A,286933003
1502,44031002,finding_site,12738006
1503,44031002,after,91175000
1504,3298001,IS_A,111479008
1505,3298001,finding_site,12738006
1506,69482004,IS_A,192811002
1507,69482004,IS_A,3298001
1508,69482004,IS_A,399357009
1509,69482004,IS_A,191483003
1510,69482004,causative_agent,311492009
1511,69482004,finding_site,280369009
1512,191471000,IS_A,69482004
1513,191471000,IS_A,128192007
1514,191471000,associated_morphology,23583003
1515,191471000,finding_site,280369009
1516,191471000,finding_site,84782009
1517,191471000,causative_agent,311492009
1518,73097000,IS_A,3298001
1519,73097000,IS_A,29212009
1520,73097000,causative_agent,311492009
1521,73097000,finding_site,12738006
1522,83168008,IS_A,3298001
1523,83168008,IS_A,11387009
1524,83168008,causative_agent,264301008
1525,83168008,finding_site,12738006
1526,191494004,IS_A,191483003
1527,191494004,IS_A,3298001
1528,191494004,causative_agent,410942007
1529,191494004,finding_site,12738006
1530,302507002,IS_A,191494004
1531,302507002,IS_A,11061003
1532,302507002,causative_agent,372614000
1533,302507002,finding_site,12738006
1534,17262008,IS_A,69322001
1535,17262008,IS_A,3298001
1536,17262008,IS_A,399357009
1537,17262008,finding_site,12738006
1538,40673001,IS_A,111479008
1539,40673001,finding_site,12738006
1540,40673001,after,45170000
1541,19972008,IS_A,230292008
1542,19972008,IS_A,40673001
1543,19972008,finding_site,32610002
1544,19972008,after,45170000
1545,52448006,IS_A,111479008
1546,52448006,finding_site,12738006
1547,52448006,INVERSE_associated_finding,161465002
1548,52448006,INVERSE_associated_finding,429961000
1549,52448006,INVERSE_has_focus,386257007
1550,52448006,INVERSE_has_focus,406165004
1551,52448006,INVERSE_has_focus,473203000
1552,52448006,INVERSE_has_focus,700214004
1553,52448006,INVERSE_has_focus,700464008
1554,278857002,IS_A,278855005
1555,278857002,IS_A,52448006
1556,278857002,associated_morphology,33359002
1557,278857002,finding_site,83251001
1558,51928006,IS_A,266133006
1559,51928006,IS_A,52448006
1560,51928006,IS_A,315826004
1561,51928006,IS_A,128614008
1562,51928006,causative_agent,72904005
1563,51928006,causative_agent,409822003
1564,51928006,finding_site,12738006
1565,51928006,finding_site,21483005
1566,51928006,pathological_process,441862004
1567,82959004,IS_A,51928006
1568,82959004,IS_A,266126006
1569,82959004,causative_agent,72904005
1570,82959004,causative_agent,409822003
1571,82959004,finding_site,12738006
1572,82959004,finding_site,21483005
1573,82959004,occurrence,255399007
1574,82959004,pathological_process,441862004
1575,62239001,IS_A,32798002
1576,62239001,IS_A,28394000
1577,62239001,IS_A,52448006
1578,62239001,finding_site,32610002
1579,90099008,IS_A,52448006
1580,90099008,IS_A,22811006
1581,90099008,IS_A,6118003
1582,90099008,IS_A,20059004
1583,90099008,associated_morphology,26036001
1584,90099008,associated_morphology,32693004
1585,90099008,finding_site,88556005
1586,90099008,finding_site,68523003
1587,9345005,IS_A,52448006
1588,9345005,IS_A,230351001
1589,9345005,IS_A,50122000
1590,9345005,finding_site,12738006
1591,9345005,associated_with,108241001
1592,191519005,IS_A,52448006
1593,191519005,finding_site,12738006
1594,191519005,associated_with,64572001
1595,230290000,IS_A,191519005
1596,230290000,finding_site,12738006
1597,230290000,associated_with,84757009
1598,82381000119103,IS_A,1591000119103
1599,82381000119103,IS_A,230290000
1600,82381000119103,finding_site,12738006
1601,82381000119103,associated_with,84757009
1602,230282000,IS_A,191519005
1603,230282000,finding_site,12738006
1604,230282000,after,82271004
1605,230283005,IS_A,230282000
1606,230283005,finding_site,12738006
1607,230283005,after,82271004
1608,40425004,IS_A,230282000
1609,40425004,finding_site,12738006
1610,40425004,after,110030002
1611,698687007,IS_A,230282000
1612,698687007,finding_site,12738006
1613,698687007,after,82271004
1614,281004,IS_A,29212009
1615,281004,IS_A,191493005
