id,level,client_statement,response
8_b_1,beginner,[Anxious] I’m not ready to try the next item on my exposure hierarchy.,"Let's break it down together. It sounds like you're feeling anxious about moving forward with the next step in your exposure hierarchy. What are some thoughts that are contributing to this anxiety, and what's holding you back from feeling ready to proceed?"
8_b_2,beginner,"[Anxious] I don’t think I’m ready to do all of what you’re asking me to do before the
next session.","It's normal to feel overwhelmed, let's break down the tasks into smaller, manageable steps to increase your sense of control and preparedness."
8_b_3,beginner,[Frustrated] I don’t like this breathing stuff. The experience monitoring was more helpful.,It seems like you found the breathing exercises less engaging and more challenging than the experience monitoring aspect of our session. Can you tell me more about what specifically didn't work for you about the breathing exercises?
8_b_4,beginner,[Excited] You won’t believe what happened this week!,"It sounds like something exciting occurred, and you're eager to share it with me. I'm all ears, and I'm interested in hearing more about what happened. Can you tell me more about what's been going on and how you've been feeling about it? What specifically is making you so excited?"
8_b_5,beginner,"[Frustrated] I know I said I would go to the event and start a conversation with new
people, but I only managed to say “hello” to one person.","It sounds like you had a goal in mind and didn't quite meet it, which can be frustrating. Let's break it down together: what happened right before you said ""hello"" to that one person, and what thoughts went through your mind in that moment?"
8_m_1,intermediate,"[Anxious] I know the plan was to review my monitoring, but I learned yesterday that I might
lose my job.","It sounds like this new information has shaken things up for you. Let's take a step back and prioritize your immediate needs. How do you think this news about your job might affect your ability to stick to our plan, and what do you think is the most important thing for you to focus on right now?"
8_m_2,intermediate,"[Agitated] I’d go into what happened back then, but I know that we focus on the present
in this therapy.","You're right, we do focus on the present moment in our therapy sessions. However, sometimes exploring past experiences can help us understand how they might be influencing your thoughts and behaviors in the present. Would you like to explore a specific aspect of your past that might be relevant to our current goals?"
8_m_3,intermediate,"[Anxious] I guess I haven’t brought up religion in here yet; I’ve been unsure about
doing that.","It sounds like you're feeling a bit apprehensive about discussing your religious beliefs in our sessions, which is completely understandable. Can you tell me more about what's causing this uncertainty and what you're hoping to get out of sharing this aspect of yourself with me?"
8_m_4,intermediate,"[Anxious] I’m uneasy about doing the homework, living with my extended family in such
a small place. It makes me uncomfortable.",Let's break down what's causing your discomfort. Can you tell me more about what specifically makes you feel uneasy about living with your extended family in a small space?
8_m_5,intermediate,"[Hopeless, after completing a progress monitoring measure] I think the scores on the
measure you asked me to complete are consistent with my experience so far. It feels like
things might actually be getting worse.","It sounds like you're feeling a bit discouraged by the results, and it's natural to feel that way when things don't seem to be moving in the direction we'd like. Can we take a closer look at what the results are telling us, and see if we can identify any areas where we might be able to make some adjustments to get back on track?"
8_m_6,intermediate,"[Anxious] I’ve learned some new things. But I still feel tense all the time. I can’t have a
conversation with anyone without lashing out. I feel on edge and still can’t really relax.","It sounds like you're feeling stuck in this state of tension and anxiety, even after learning new skills. Let's explore this further. Can you tell me more about what you think might be getting in the way of you fully applying these new skills in your daily life? Are there any specific situations or triggers that make you feel like you're lashing out or can't relax?"
8_a_1,advanced,"[Matter of fact] I think my problems partly stem from the racism and disrespect that
I experience at work.","It sounds like you're attributing some of your challenges at work to systemic issues like racism and disrespect, which can definitely impact your well-being and job satisfaction. Can you tell me more about how you experience this racism and disrespect in your workplace?"
8_a_2,advanced,[Frustrated] I don’t think I can commit to coming here every week.,"Let's explore this further. Can you tell me what's causing your frustration about committing to weekly sessions? Is it the time commitment, the cost, or something else?"
8_a_3,advanced,"[Depressed] I wasn’t able to do the trauma homework. I’ve been feeling more depressed
and sleeping a lot. I’ve been late to work a few days this week.","It sounds like you're feeling overwhelmed by the trauma homework and it's impacting your daily routine, including your work schedule and sleep patterns. Can you tell me more about what's making it hard for you to complete the homework?"
8_a_4,advanced,"[Excited] I found this article about a breakthrough medication for anxiety, and it seems like
something I could try.","It sounds like you're feeling hopeful about this new information. Can you tell me more about what specifically drew you to this medication, and what you're hoping it might do for you?"
8_a_5,advanced,"[Hopeless] To be honest, things haven’t improved as much as I expected.",It sounds like you're feeling a bit frustrated with the progress you've made so far. Can you tell me more about what you were hoping to achieve and what specifically hasn't met your expectations?
