id,level,client_statement,response
7_b_1,beginner,[Nervous] I don’t think I’m ready to work on this today.,"It's completely normal to feel nervous about exploring challenging topics, but let's take a moment to understand what's behind this feeling. What specifically is making you hesitant to move forward today?"
7_b_2,beginner,[Weeping] I’m so embarrassed. I’m an ugly crier.,"It sounds like you're beating yourself up over your emotional expression, but crying is a natural and normal response to difficult emotions, not something to be ashamed of."
7_b_3,beginner,"[Nervous, deflecting from exposure task] Oh, I forgot to tell you that I might be switching
jobs. Maybe we should talk about that instead today?","It sounds like you're feeling a bit anxious about the exposure task we were working on. Let's take a moment to acknowledge that feeling. However, I want to gently suggest that we stay focused on the task at hand. We can always discuss the job change after we complete this exercise, if you're willing. How does that sound?"
7_b_4,beginner,"[Panicking] OK, I’m definitely feeling anxious now! Um, what’s the point of this exposure
again? What if it doesn’t work? What if I can’t stop feeling like this? Maybe we should
stop now.","It sounds like you're feeling a bit overwhelmed and uncertain about the exposure process. That's completely understandable. Let's take a step back and break it down. Exposure is a process that helps us confront and learn to manage our fears in a safe and controlled environment. We've discussed your goals and created a plan to tackle these feelings together. We can take it one step at a time, and I'll be here to support you every step of the way. What's the first step that's been causing you anxiety?"
7_b_5,beginner,"[Tearing up] I don’t even know if I’m getting any better in here. I mean, I’ve been in therapy
for weeks and I feel the same.","It sounds like you're feeling frustrated and uncertain about the progress you're making in our sessions. I want you to know that it's completely normal to feel this way, especially when we're working through complex emotions and issues. Progress in therapy can be slow and non-linear, and it's not always easy to see immediate results. Can you tell me what you think would make you feel like you're getting better, and what specific changes you're hoping to see in our sessions?"
7_m_1,intermediate,"[Angry] I think I’m done with therapy . . . things aren’t that bad, and maybe I don’t want to
change! I’ve been dealing with this my whole life and I’ve managed.",It sounds like you're feeling frustrated with the idea of working through your issues again. Can you tell me more about what's making you feel like you've managed just fine on your own and what's behind your resistance to exploring further change?
7_m_2,intermediate,"[Shaking and teary] I’m really embarrassed . . . I kind of lied to you about what I thought
I could handle in here. I didn’t want to disappoint you or make you feel like this is a waste
of time.","It takes a lot of courage to acknowledge and share this with me, and I appreciate your honesty. Can you tell me more about what you're afraid of, and what led you to feel like you couldn't be honest with me initially?"
7_m_3,intermediate,"[Crying] My partner broke up with me today. I know it’s stupid, but I really thought we
were going to get married.",I'm so sorry to hear that you're going through this. It sounds like you were really invested in this relationship and had a strong vision for your future together. Can you tell me more about what you thought your life would be like if you had gotten married?
7_m_4,intermediate,"[Shaking and weeping] This is not something I can get into without hysterically crying.
That’s why I avoid it.","It sounds like you're feeling overwhelmed and avoiding a particular situation because it triggers strong emotional responses in you. That's completely understandable. In CBT, we often work with the idea that avoidance can be a coping mechanism, but it might not be addressing the root of the issue. Can you tell me more about what you're avoiding and what emotions you typically experience when you're in that situation?"
7_m_5,intermediate,"[Head in hands, sobbing without speaking]","It seems like you're overwhelmed and emotional right now, and that's okay. Let's take a moment to breathe and ground ourselves before we talk about what's going on."
7_a_1,advanced,[Angry] What we’re doing in here is so stupid!,"I can understand that you're feeling frustrated with our sessions, but let's break down what we're trying to achieve here."
7_a_2,advanced,[Very anxious] I feel like I’m going to have a panic attack or faint!,"It sounds like you're experiencing a lot of distress right now. Can you tell me more about what's happening in your body that's making you feel this way, and what you're thinking that's contributing to these feelings?"
7_a_3,advanced,"[Disgusted, looking away] Ugh. Ahh. That is disgusting! I am not looking at that or
touching it!",It sounds like you're experiencing a strong physical and emotional reaction to something. Can you tell me more about what's causing this reaction? What is it that's making you feel so disgusted?
7_a_4,advanced,"[Crying, raised voice] I can’t do this!","I can see that you're feeling overwhelmed right now. Let's take a deep breath together and try to break down what's happening. Can you tell me more about what 'this' is that you're feeling like you can't do? Is it a specific situation, a task, or something else entirely?"
7_a_5,advanced,"[Angry] You don’t understand. I want to stop feeling sad, not practice feeling sad. I’m
already pretty freaking great at feeling bad. So, I really don’t need more practice at that!","It sounds like you're feeling frustrated with the idea of practicing emotional regulation, particularly with sadness. I understand that it can feel counterintuitive to intentionally engage with an emotion you're trying to avoid. However, the goal of our work isn't to induce or prolong negative emotions, but rather to develop skills to manage them effectively when they arise. We can work together to find ways to practice emotional regulation that feel more empowering and less like 'practicing sadness'."
7_a_6,advanced,[Panicking] Oh my god . . . Oh my god . . . I’m dying! I can’t breathe! Help me!,"It sounds like you're experiencing a panic attack. Let's take a deep breath together. I'm here to support you, and I want you to know that you're safe. Can you tell me what's going on right now that's making you feel like this?"
7_a_7,advanced,"[Angry] I don’t think you really care about me! You just pretend to like me because it’s
your job!","I understand that you're feeling frustrated and hurt, and it's understandable that you might feel like I'm not being genuine in our sessions. However, I want to assure you that my goal is to help you, and I'm committed to creating a safe and supportive environment for us to work together. Can you tell me more about what's making you feel this way?"
